molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL270594,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4C[C@@H](OP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C.[K+].[K+].[K+],active,712.044,-4.788500000000014,1.0,7.0,6.361510743045363
CHEMBL402033,C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2OCCCOP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],active,757.9400000000002,-6.727600000000019,1.0,10.0,6.242603971206976
CHEMBL402223,C[C@]12CC[C@@H]3c4ccc(OCCCOP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])cc4CC[C@H]3[C@@H]1CCC2=O.[K+].[K+].[K+],active,651.8160000000003,-8.384100000000023,1.0,9.0,6.853871964321762
CHEMBL270824,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](OCCCOP(=O)([O-])N[C@@H](CCC(=O)[O-])C(=O)[O-])CC[C@@]43C)[C@@H]1CCC2=O.[K+].[K+].[K+],active,671.8910000000001,-7.891300000000027,1.0,9.0,6.3585258894959
CHEMBL47009,O=C(O)CCC(CP(=O)(O)O)C(=O)O,active,226.121,-0.27029999999999993,4.0,3.0,9.522878745280337
CHEMBL408143,CC(=O)N[C@@H](CCCN(O)C(C)=O)C(=O)N[C@@H](CCCN(O)C(C)=O)C(=O)N[C@@H](CCCN(O)C(C)=O)C(=O)NCCCC(=O)c1ccc(C(=O)NCC(=O)Nc2ccc(CCOP(=O)(O)C[C@@H](CCC(=O)O)C(=O)O)cc2)cc1,active,1150.1429999999998,0.972300000000002,12.0,17.0,8.397940008672037
CHEMBL408144,O=C(O)CCC(CP(=O)(O)OCc1ccccc1)C(=O)O,active,316.24600000000004,1.9542,3.0,4.0,7.903089986991944
CHEMBL511108,O=C(O)CC[C@H](NC(=O)NCc1ccc(I)cc1)C(=O)O,intermediate,406.17600000000004,1.4083999999999999,4.0,3.0,5.522878745280337
CHEMBL458202,NCCCC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,active,319.314,-0.8141999999999985,6.0,5.0,6.302770657240282
CHEMBL496748,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc(I)cc1)C(=O)O)C(=O)O,active,535.3350000000002,1.6215000000000002,6.0,5.0,7.657577319177793
CHEMBL523595,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccccc1I)C(=O)O)C(=O)O,active,535.3350000000002,1.6215000000000002,6.0,5.0,7.431798275933005
CHEMBL496955,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1cccc(I)c1)C(=O)O)C(=O)O,active,535.3350000000002,1.6215000000000002,6.0,5.0,6.3535962737769305
CHEMBL496956,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc(Br)cc1)C(=O)O)C(=O)O,active,488.3350000000001,1.7793999999999999,6.0,5.0,7.366531544420414
CHEMBL495511,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc(Cl)cc1)C(=O)O)C(=O)O,active,443.8840000000001,1.6703000000000001,6.0,5.0,8.698970004336019
CHEMBL498192,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccccc1Cl)C(=O)O)C(=O)O,active,443.8840000000001,1.6703000000000001,6.0,5.0,6.610833915635467
CHEMBL497388,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1cccc(Cl)c1)C(=O)O)C(=O)O,active,443.8840000000001,1.6703000000000001,6.0,5.0,6.557520230935552
CHEMBL496146,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc(F)cc1)C(=O)O)C(=O)O,intermediate,427.4290000000001,1.1559999999999997,6.0,5.0,5.920818753952375
CHEMBL459278,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccccc1)C(=O)O)C(=O)O,intermediate,409.4390000000001,1.0169000000000006,6.0,5.0,5.528708288941061
CHEMBL456029,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(I)cc1)C(=O)O)C(=O)O,active,564.3330000000002,1.6534,7.0,5.0,8.0
CHEMBL496350,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(Br)cc1)C(=O)O)C(=O)O,active,517.3330000000002,1.8112999999999997,7.0,5.0,8.698970004336019
CHEMBL496351,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(Cl)cc1)C(=O)O)C(=O)O,active,472.8820000000002,1.7021999999999995,7.0,5.0,8.397940008672037
CHEMBL444446,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(F)cc1)C(=O)O)C(=O)O,active,456.42700000000013,1.1878999999999993,7.0,5.0,8.522878745280337
CHEMBL526469,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccccc1)C(=O)O)C(=O)O,active,438.4370000000001,1.0488000000000004,7.0,5.0,7.920818753952375
CHEMBL498208,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NCc1cccc(I)c1)C(=O)O)C(=O)O,active,578.3600000000002,1.3311000000000002,7.0,5.0,7.7447274948966935
CHEMBL498209,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNS(=O)(=O)c1ccc(I)cc1)C(=O)O)C(=O)O,active,585.3730000000003,0.8101999999999998,6.0,6.0,8.0
CHEMBL496977,O=C(O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1cccc2ccccc12)C(=O)O)C(=O)O,active,459.49900000000014,2.170099999999999,6.0,5.0,6.812479279163537
CHEMBL1289263,N[C@@H](CCC(=O)N[C@@H](COP(=O)([O-])O[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O.[K+],active,482.3760000000002,-5.428499999999998,6.0,10.0,9.259637310505756
CHEMBL1288739,CCN1/C(=C/C=C/C=C/C2=[N+](CCCCCC(=O)N[C@@H](CCC(=O)N[C@@H](COP(=O)([O-])O[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)cc4c3C2(C)C)C(C)(C)c2c1ccc1c(S(=O)(=O)O)cc(S(=O)(=O)O)cc21,active,1343.342,4.469000000000011,10.0,19.0,6.841637507904751
CHEMBL1288738,CCN1/C(=C/C=C/C=C/C2=[N+](CCCCCC(=O)[O-])c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)cc4c3C2(C)C)C(C)(C)c2c1ccc1c(S(=O)(=O)O)cc(S(=O)(=O)O)cc21,intermediate,917.0709999999999,5.480300000000004,4.0,11.0,5.214670164989233
CHEMBL1288536,O=C(O)c1[nH]c2ccccc2c1CCS,intermediate,221.28099999999998,2.3384000000000005,3.0,2.0,5.920818753952375
CHEMBL1288228,O=C(O)c1c(CCS)c2ccccc2n1Cc1ccccc1,inactive,311.406,3.860100000000002,2.0,3.0,4.920818753952375
CHEMBL1288229,O=C(O)c1ccccc1Cn1c(C(=O)O)c(CCS)c2ccccc21,active,355.41499999999996,3.558300000000002,3.0,4.0,7.657577319177793
CHEMBL1288230,O=C(O)c1cccc(Cn2c(C(=O)O)c(CCS)c3ccccc32)c1,active,355.41499999999996,3.558300000000002,3.0,4.0,7.657577319177793
CHEMBL1288258,O=C(O)c1ccc(Cn2c(C(=O)O)c(CCS)c3ccccc32)cc1,active,355.415,3.558300000000002,3.0,4.0,7.026872146400302
CHEMBL1288259,O=C(O)c1ccc(Br)c(Cn2c(C(=O)O)c(CCS)c3ccccc32)c1,active,434.31100000000015,4.320800000000002,3.0,4.0,7.267606240177032
CHEMBL1288286,CC(C)(C)c1cc(Cn2c(C(=O)O)c(CCS)c3ccccc32)cc(C(=O)O)c1,active,411.52300000000014,4.855800000000004,3.0,4.0,7.468521082957745
CHEMBL1288287,O=C(O)c1cc(Cn2c(C(=O)O)c(CCS)c3ccccc32)ccc1Br,active,434.31100000000004,4.320800000000002,3.0,4.0,6.853871964321762
CHEMBL1287842,COc1ccc(C(=O)O)c(Cn2c(C(=O)O)c(CCS)c3ccccc32)c1,active,385.44100000000003,3.5669000000000013,3.0,5.0,7.031517051446065
CHEMBL1287843,O=C(O)c1cccc(Cn2c(C(=O)O)c(CCO)c3ccccc32)c1,inactive,339.347,2.620800000000001,3.0,4.0,4.619788758288394
CHEMBL1287871,CSCCc1c(C(=O)O)n(Cc2cccc(C(=O)O)c2)c2ccccc12,inactive,369.44200000000006,3.991500000000002,2.0,4.0,4.698970004336019
CHEMBL1287872,O=C(O)Cc1c(C(=O)O)n(Cc2cccc(C(=O)O)c2)c2ccccc12,intermediate,353.33000000000004,2.7131000000000007,3.0,4.0,5.769551078621726
CHEMBL1287873,O=C(O)c1c(CCS)c2ccccc2n1-c1ccccc1,intermediate,297.379,3.801000000000002,2.0,3.0,5.214670164989233
CHEMBL1287900,O=C(O)c1cccc(-n2c(C(=O)O)c(CCS)c3ccccc32)c1,active,341.38800000000003,3.499200000000002,3.0,4.0,7.657577319177793
CHEMBL382398,O=C(O)c1cccc(CC(CCCS)C(=O)O)c1,active,268.33399999999995,2.3381,3.0,3.0,7.823908740944319
CHEMBL303352,O=C(O)CCC(CCCS)C(=O)O,active,206.263,1.262,3.0,3.0,7.045757490560675
CHEMBL1921897,N[C@@H](CCC(=O)N[C@@H](COP(=O)(O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O,active,443.30200000000025,-2.2274999999999956,8.0,8.0,7.853871964321762
CHEMBL1921898,O=C(O)CC[C@H](NP(=O)(O)OC[C@H](NC(=O)CC[C@H](NC(=O)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)[O-])c1)C(=O)O)C(=O)O)C(=O)O.[K+],active,839.6970000000005,-2.8048999999999946,9.0,13.0,9.387216143280265
CHEMBL1921899,O=C(O)CC[C@H](NP(=O)(O)OC[C@H](NC(=O)CC[C@H](NC(=O)CCCCCNC(=O)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1)C(=O)O)C(=O)O)C(=O)O,active,914.7670000000006,2.2024000000000004,11.0,13.0,9.455931955649724
CHEMBL1921900,O=C(O)CC[C@H](NP(=O)(O)OC[C@H](NC(=O)CC[C@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1)C(=O)O)C(=O)O)C(=O)O,active,1225.1100000000001,1.164900000000012,11.0,21.0,8.714442690992227
CHEMBL303352,O=C(O)CCC(CCCS)C(=O)O,active,206.263,1.262,3.0,3.0,7.045757490560675
CHEMBL382398,O=C(O)c1cccc(CC(CCCS)C(=O)O)c1,active,268.33399999999995,2.3381,3.0,3.0,7.823908740944319
CHEMBL1287900,O=C(O)c1cccc(-n2c(C(=O)O)c(CCS)c3ccccc32)c1,active,341.38800000000003,3.499200000000002,3.0,4.0,7.657577319177793
CHEMBL294565,O=C(O)CCCCS,intermediate,134.20000000000002,1.1711,2.0,2.0,5.853871964321762
CHEMBL2152434,O=C(O)c1cccc(CS)c1,intermediate,168.21699999999998,1.8146,2.0,2.0,5.886056647693163
CHEMBL2152435,O=C(O)c1cc(CS)ccc1-c1ccccc1,intermediate,244.31500000000003,3.481600000000001,2.0,2.0,5.2441251443275085
CHEMBL2152436,O=C(O)c1ccccc1-c1ccc(CS)cc1C(=O)O,active,288.324,3.179800000000002,3.0,3.0,6.468521082957745
CHEMBL2152437,O=C(O)c1cccc(-c2ccc(CS)cc2C(=O)O)c1,active,288.324,3.179800000000001,3.0,3.0,7.42021640338319
CHEMBL2152438,O=C(O)c1ccc(-c2ccc(CS)cc2C(=O)O)cc1,active,288.32399999999996,3.179800000000001,3.0,3.0,7.2839966563652006
CHEMBL2152439,O=C(O)c1cc(CS)ccc1OCc1ccccc1,active,274.341,3.393600000000002,2.0,3.0,6.376750709602099
CHEMBL2152555,O=C(O)c1ccccc1COc1ccc(CS)cc1C(=O)O,active,318.35,3.091800000000001,3.0,4.0,7.3872161432802645
CHEMBL2152556,O=C(O)c1cccc(COc2ccc(CS)cc2C(=O)O)c1,active,318.3500000000001,3.091800000000001,3.0,4.0,8.698970004336019
CHEMBL2152557,O=C(O)c1ccc(COc2ccc(CS)cc2C(=O)O)cc1,active,318.35,3.091800000000001,3.0,4.0,7.795880017344075
CHEMBL2152558,O=C(O)c1ccccc1CCS,active,182.24399999999997,1.8571000000000004,2.0,2.0,6.031517051446065
CHEMBL2152559,O=C(O)c1c(CCS)cccc1-c1ccccc1,intermediate,258.34200000000004,3.5241000000000016,2.0,2.0,5.853871964321762
CHEMBL2152560,O=C(O)c1ccccc1-c1cccc(CCS)c1C(=O)O,active,302.35100000000006,3.222300000000002,3.0,3.0,6.638272163982407
CHEMBL2152561,O=C(O)c1cccc(-c2cccc(CCS)c2C(=O)O)c1,active,302.351,3.2223000000000015,3.0,3.0,8.698970004336019
CHEMBL2152562,O=C(O)c1ccc(-c2cccc(CCS)c2C(=O)O)cc1,active,302.351,3.2223000000000015,3.0,3.0,8.154901959985743
CHEMBL2152563,O=C(O)c1c(CCS)cccc1OCc1ccccc1,active,288.368,3.4361000000000024,2.0,3.0,6.698970004336019
CHEMBL2152564,O=C(O)c1ccccc1COc1cccc(CCS)c1C(=O)O,active,332.377,3.134300000000002,3.0,4.0,6.853871964321762
CHEMBL2152565,O=C(O)c1cccc(COc2cccc(CCS)c2C(=O)O)c1,active,332.377,3.1343000000000014,3.0,4.0,7.161150909262744
CHEMBL2152566,O=C(O)c1ccc(COc2cccc(CCS)c2C(=O)O)cc1,active,332.37700000000007,3.1343000000000014,3.0,4.0,6.698970004336019
CHEMBL2177506,O=C(O)[C@H](F)C[C@@H](CP(=O)(O)O)C(=O)O,active,244.111,-0.3223000000000002,4.0,3.0,7.048662481204082
CHEMBL2177510,O=C(O)[C@@H](F)C[C@@H](CP(=O)(O)O)C(=O)O,active,244.111,-0.3223000000000002,4.0,3.0,7.252588192113577
CHEMBL2177509,O=C(O)[C@H](C[C@@H](F)C(=O)O)CP(=O)(O)O,active,244.111,-0.3223,4.0,3.0,8.09151498112135
CHEMBL2177507,O=C(O)[C@@H](F)C[C@H](CP(=O)(O)O)C(=O)O,active,244.111,-0.3223000000000002,4.0,3.0,8.508638306165727
CHEMBL2177508,O=C(O)C(F)CC(CP(=O)(O)O)C(=O)O,active,244.111,-0.3223000000000002,4.0,3.0,8.167491087293763
CHEMBL47009,O=C(O)CCC(CP(=O)(O)O)C(=O)O,active,226.121,-0.27029999999999993,4.0,3.0,8.958607314841775
CHEMBL334737,O=C(O)CCCC(CP(=O)(O)O)C(=O)O,active,240.148,0.11979999999999996,4.0,3.0,6.732828271596986
CHEMBL3116049,O=C(O)c1cccc(-c2cccc3c2C(=O)SCC3)c1,inactive,284.336,3.481300000000002,1.0,3.0,4.698970004336019
CHEMBL3116048,O=C(O)CCC1CCCSC1=O,intermediate,188.248,1.521,1.0,3.0,5.698970004336019
CHEMBL303352,O=C(O)CCC(CCCS)C(=O)O,active,206.263,1.262,3.0,3.0,7.045757490560675
CHEMBL46005,O=C(O)CC[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,active,320.2540000000001,-1.0783999999999987,6.0,5.0,7.327902142064283
CHEMBL3427434,O=C(O)CC[C@H](NP(=O)(O)OCCC[C@H](NC(=O)CC[C@H](NC(=O)c1ccc(F)cc1)C(=O)O)C(=O)O)C(=O)O,intermediate,593.4540000000004,0.1631000000000014,8.0,8.0,5.886056647693163
CHEMBL3427433,NCCCCCC(=O)N[C@@H](CCC(=O)N[C@@H](CCCOP(=O)(O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O,inactive,584.5160000000003,-0.7706999999999928,9.0,9.0,4.721246399047171
CHEMBL3427432,N[C@@H](CCC(=O)N[C@@H](CCCOP(=O)(O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O,inactive,471.3560000000003,-1.4472999999999958,8.0,8.0,4.568636235841013
CHEMBL3427435,O=C(O)CC[C@H](NP(=O)(O)OCCC[C@H](NC(=O)CC[C@H](NC(=O)CCCCCNC(=O)c1ccc(F)cc1)C(=O)O)C(=O)O)C(=O)O,active,706.6140000000006,0.8397000000000026,9.0,9.0,6.3979400086720375
CHEMBL3427436,N[C@@H](CCC(=O)N1C[C@H](OP(=O)(O)N[C@@H](CCC(=O)O)C(=O)O)C[C@H]1C(=O)O)C(=O)O,inactive,469.34000000000026,-1.7427999999999955,7.0,8.0,4.221848749616356
CHEMBL3427437,N[C@@H](CCC(=O)N1C[C@@H](OP(=O)(O)N[C@@H](CCC(=O)O)C(=O)O)C[C@@H]1C(=O)O)C(=O)O,inactive,469.34000000000026,-1.7427999999999955,7.0,8.0,3.447331783887807
CHEMBL3427438,NCCCCCC(=O)N[C@@H](CCC(=O)N1C[C@H](OP(=O)(O)N[C@@H](CCC(=O)O)C(=O)O)C[C@H]1C(=O)O)C(=O)O,inactive,582.5000000000003,-1.0661999999999938,8.0,9.0,4.102372908709558
CHEMBL3427439,NCCCCCC(=O)N[C@@H](CCC(=O)N1C[C@@H](OP(=O)(O)N[C@@H](CCC(=O)O)C(=O)O)C[C@@H]1C(=O)O)C(=O)O,inactive,582.5000000000003,-1.0661999999999938,8.0,9.0,3.9507819773298185
